"code","country","region_noHICgroup","obs","CAT","1-BETA","MIX","C1P1","C2P1","C3P1","C4P1","C5P1","C1P2","C2P2","C3P2","C4P2","C5P2","C1P3","C2P3","C3P3","C4P3","C5P3","C1P4","C2P4","C3P4","C4P4","C5P4","C1P5","C2P5","C3P5","C4P5","C5P5","index","group"
"VNM","Vietnam","East Asia & Pacific",617,0.70278013,0.52572361,0.72142321,0.0101508031480476,0.0277746256132964,0.0156783672034631,0.0261109285449164,0.00932922049027665,0.006662381516329,0.0313891450935678,0.0420382707359461,0.044776539399361,0.0584375532547961,0,0.0205302353491654,0.0415858493980266,0.0948646436979578,0.085217887195275,0,0.0130012869330995,0.0335057850116,0.0949929307505728,0.191199839966326,0,0.0009372247562073,0.0016449318845388,0.024176192148207,0.125995351669308,0.259784864299913,"Part 1"
"MAR","Morocco","Middle East & North Africa",3804,0.61149389,0.50726336,0.61203462,0.219468903533768,0.181860874661303,0.12100207072088,0.0466306561011084,0.0581186050162382,0.0440872789176204,0.0692078803824892,0.0657158052895388,0.0287543460534484,0.0409565693569032,0.00268315396546187,0.00782223589063684,0.013873357045596,0.0105868774090326,0.0218171978943132,0.000475138596920797,0.00153291744300274,0.00706815670118946,0.013246839433377,0.0218218994876843,0,0.0008305523110256,0.0038459271086917,0.00382304807909805,0.0147697270357995,0.26040735828461,"Part 1"
"MEX","Mexico","Latin America & Caribbean",7928,0.71451175,0.59613109,0.72160441,0.0337679066542788,0.0658197012958596,0.0694472993601804,0.02918364669675,0.0278250859929312,0.0113864843699095,0.0511537109205174,0.120266760849222,0.0680816953330324,0.040667761821521,0.010104324433056,0.0209946192226416,0.080486282339856,0.086307058121904,0.079120512281376,0.000735768432508752,0.00644664874941785,0.0151006673539874,0.0161176106675543,0.0296980671585069,2.26285572335e-05,0.0002365664126713,0.00808680192359718,0.0237555822568284,0.10518679824119,0.270824895144591,"Part 1"
"NLD","Netherlands","Europe & Central Asia",727,0.72556674,0.75430785,0.70149225,0.00205882398501516,0.000692519309901546,0.00794457712169898,0,0.0016445260893426,0,0.0040751941500821,0.008962565488064,0.0158277988243967,0.0057028518831413,0,0.00859373041572228,0.0586542829639584,0.157265867925173,0.127504297287074,0,0,0.023008763843394,0.0641931171335204,0.0990184846096964,0,0.00109010981015336,0.0200188013386094,0.116814947323914,0.276928727378798,0.271299637898072,"Part 1"
"POL","Poland","Europe & Central Asia",1143,0.60316956,0.65303984,0.64474845,0,0,0.001011866,0,0,0,0.00098415649785726,0.00271940578221312,0.0094199423056011,0.00246861788209218,0,0,0.130365256703752,0.185790029935073,0.0879507333611744,0,0,0.0307842220116297,0.16186424809816,0.203105794533117,0,0,0.00330037876979262,0.0279532787349672,0.152282084881205,0.274730923732494,"Part 1"
"NOR","Norway","Europe & Central Asia",809,0.55219644,0.67378753,0.65764076,0.0022955439188106,0.0015156278234627,0.0021032551925884,0.0011458308035412,0.0022929074486604,0,0,0.0043778958648348,0.001758964914234,0.0088543796706684,0,0,0.018825357504672,0.03882900164922,0.0445555998240084,0.00194590056552606,0,0.0219221934098112,0.149520378241298,0.134420345628703,0,0,0.0267143681350532,0.121135478264937,0.417786978306567,0.27564278271819,"Part 1"
"LTU","Lithuania","Europe & Central Asia",796,0.48084447,0.70277783,0.6109705,0,0,0,0.001834076,0,0,0,0.00170647628148327,0.00757932598276671,0.00240304038508473,0,0,0.00962539827159795,0.0225504270542375,0.0311605090408012,0,0,0.0260105415488857,0.258849049241461,0.205519628526859,0,0,0.0107942744030628,0.0837502698436755,0.338216995366984,0.276231811129133,"Part 1"
"UKR","Ukraine","Europe & Central Asia",590,0.53073907,0.62080458,0.72358298,0,0,0,0.001419755,0,0,0,0,0.0020848167914382,0.00053421618237147,0,0,0.0177573977119865,0.0232947968418104,0.00874410245027712,0,0.001856664245992,0.0191865742895405,0.15072924535472,0.178282621360574,0,0.00104433014112729,0.00732732992296653,0.0785154829377072,0.509222656268222,0.277043510438052,"Part 1"
"TUN","Tunisia","Middle East & North Africa",1844,0.63877928,0.59697333,0.64421058,0.151893833614271,0.1484922083368,0.0708390209033676,0.0654173697973224,0.0819312073482396,0.0501567694724624,0.0644744154719136,0.0518119593190763,0.0420887310073207,0.058232434729227,0.00490877761944358,0.00482956035586968,0.00498049515042802,0.00862483070102684,0.0142169741732319,0.00587216393128365,0.0141360029007155,0.014784081704602,0.023119665207863,0.058105038227824,0.000256408483209942,0.00182190696918462,0.00169487487722503,0.0128604802931749,0.0444507879654014,0.281452002378639,"Part 1"
"NZL","New Zealand","East Asia & Pacific",116,0.66666669,0.80501461,0.66379309,0,0,0,0,0,0,0,0,0.0086206895,0.0086206895,0,0,0.0517241375198939,0.0689655196816976,0.103448275039788,0,0,0.051724138125,0.0689655175,0.155172414375,0,0,0.0258620685997537,0.137931038325123,0.318965502592365,0.283162045790799,"Part 1"
