"code","country","region_noHICgroup","obs","CAT","1-BETA","MIX","C1P1","C2P1","C3P1","C4P1","C5P1","C1P2","C2P2","C3P2","C4P2","C5P2","C1P3","C2P3","C3P3","C4P3","C5P3","C1P4","C2P4","C3P4","C4P4","C5P4","C1P5","C2P5","C3P5","C4P5","C5P5","index","group"
"LTU","Lithuania","Europe & Central Asia",796,0.48084447,0.70277783,0.6109705,-0.0135428062084636,-0.0404163854585797,-0.00403205492633789,0.0420242679390449,-0.000532694269114331,0,-0.0341889499692518,-0.0584533598176824,0.0672197079488134,0.035840659740178,0,0,0.0185249856679597,-0.0486997288187793,0.0444085607087121,0,0,0.161277839608812,0.287327025057478,-0.210992495917878,0,0,0.103895497511022,0.289396388788242,0,0.276231811129133,"Part 1"
"UKR","Ukraine","Europe & Central Asia",590,0.53073907,0.62080458,0.72358298,-0.0119153472463038,-0.0357039870422857,-0.00169585380449715,0.0373665695278538,-0.000175722182109573,0,-0.0161834267075919,-0.0474976030684944,0.0368913928515687,0.0181914767892126,0,0,0.0626903941227034,-0.0319809045148143,-0.010108803511978,0,0.0430890269789421,0.138515610273862,0.20114104999609,-0.139057516776847,0,0.032316097244675,0.085599824316213,0.280206143647328,0,0.277043510438052,"Part 1"
"TUN","Tunisia","Middle East & North Africa",1844,0.63877928,0.59697333,0.64421058,0.162013474354625,-0.228132896604761,-0.0294859935453967,0.204044723250442,0.269522692588019,0.223957070601628,0.0905889170054679,-0.254287544298435,0.120843763517968,0.214070067348093,0.0700626692286526,0.0694950383543292,0.00928588894557868,-0.0820830908396021,0.062701760895836,0.0766300458781257,0.118894923780267,0.12158980921361,0.0443403568619947,-0.08208362740279,0.0160127600122509,0.0426838021875351,0.0411688580996003,0.113404057657453,0,0.281452002378639,"Part 1"
"NZL","New Zealand","East Asia & Pacific",116,0.66666669,0.80501461,0.66379309,0,0,0,0,0,0,-0.0415227395531653,-0.113633101883106,0.0471674144159687,0.0700864366118495,0,0,0.0777170446111894,-0.139384902113682,0.121329171303384,0,0,0.227429413500101,0.0965219061929438,-0.104353580738935,0,0,0.160816879088464,0.371390681527045,0,0.283162045790799,"Part 1"
"DJI","Djibouti","Middle East & North Africa",3035,0.43825081,0.52743632,0.4379977,0.397823430767249,-0.461978545520702,0.0407959722403348,0.233525650752989,0.258988189696767,0.193283527305861,0.0559840610387415,-0.187409354658184,0.085639097588796,0.132625892047737,0.041156715911632,0.0479027635300277,0.0236658605202091,-0.0621066855420644,0.0564901572013688,0.0332664435748444,0.0279427940828766,0.0548395371603963,0.0271303035533101,-0.0420447263095916,0.0633180177893844,0.0457457932436601,0.0272296665265928,0.0316832803400407,0,0.284643355616932,"Part 1"
"DNK","Denmark","Europe & Central Asia",519,0.61642492,0.79910807,0.67081547,-0.0304219805403922,-0.0894395610111299,0.0674751116731785,-0.00396806280305459,0.042754907615269,0,-0.0207867535012375,-0.149808728141585,0.0830405455850855,0.13453473976401,0,0,0.0237120479259938,-0.0812421569363282,0.0782993170056803,0,0.0724235593431705,0.170119740875377,0.175793750524924,-0.134829897314006,0,0.0510547970904639,0.188784369978485,0.338434159205408,0,0.286277165835503,"Part 1"
"SVN","Slovenia","Europe & Central Asia",689,0.54148453,0.63561943,0.56329745,-0.0245237435967676,-0.0105232577449287,-0.00646348013578166,0.0439510251217153,-0.00119522844551765,0,0.0194285114093992,-0.0256985607311377,0.0330011022909012,-0.0163151755770048,0,0,0.00824316183327034,0.018986793126239,-0.0351994536367724,0,0,0.111913591875971,0.305102589195299,-0.202082579592835,0,0,0.0835820462813859,0.318353077837886,0,0.286651507270059,"Part 1"
"BOL","Bolivia","Latin America & Caribbean",1566,0.67290777,0.56158319,0.71115279,0.0874034464353522,-0.198169669559377,0.0214300108663304,0.127816223481423,0.154872057922562,0.22206671243225,0.0161237963622134,-0.242199526676195,0.119971705545612,0.229606878648516,0.0749131654375021,0.0979924548734585,0.0277271180723639,-0.105624296732686,0.0943770987753444,0.0472137728666473,0.0722222889385731,0.174658030666953,0.107526136364166,-0.112357809174206,0,0.0291995947109497,0.0283029002735363,0.130040487403337,0,0.287218134959678,"Part 1"
"FIN","Finland","Europe & Central Asia",1025,0.5063405,0.75540155,0.57402515,-0.0253534613021575,-0.074313766115256,-0.0158348854378982,0.0553367364723102,0.0532514620385931,0.032188695153487,-0.0726934041024356,-0.141647654448329,0.136643062031438,0.10080638945108,0,0,-0.00620618513403497,-0.0162035786253339,0.0258096865545254,0.0321886961819424,0.0357653062606373,0.180149591792163,0.269006159416612,-0.212195669461922,0,0,0.113684054673206,0.382459932400992,0,0.288298895538747,"Part 1"
"USA","United States","North America",3660,0.43073601,0.67153147,0.57829297,-0.0364631444063729,-0.0930503004898993,0.0158356348125713,0.0844024379082505,0.0658464740845119,0,-0.0269793419650592,-0.0973489660262642,0.100548183409172,0.0737593933854966,0,0.0355078519454668,0.0013307830237916,-0.0123140301889327,0.0106265181680634,0,0.0505375159014237,0.175700522131225,0.280539199851713,-0.229989436158732,0,0.00419057922786337,0.089842478194319,0.377844303033732,0,0.289470929467422,"Part 1"
